tract_geoid,tract_name,county_fips,total_population_2024,total_population_moe_2024,land_area_square_meters,water_area_square_meters
06001442700,Census Tract 4427,001,3068,553,1234016,0
06001442800,Census Tract 4428,001,3041,384,1278646,0
06037204920,Census Tract 2049.20,037,2274,358,909972,0
06037205110,Census Tract 2051.10,037,3501,438,286962,0
06037205120,Census Tract 2051.20,037,3252,673,1466242,0
06037206010,Census Tract 2060.10,037,3392,593,1418137,20551
06037206020,Census Tract 2060.20,037,7629,304,843243,30290
06037206050,Census Tract 2060.50,037,2340,545,1643425,141255
06037111402,Census Tract 1114.02,037,5888,968,971230,0
06037111303,Census Tract 1113.03,037,4424,572,1563907,0
06037104321,Census Tract 1043.21,037,2749,583,519857,0
06037104322,Census Tract 1043.22,037,1778,272,692312,0
06037108203,Census Tract 1082.03,037,3074,329,1372380,0
06037320101,Census Tract 3201.01,037,3385,495,680504,0
06037920121,Census Tract 9201.21,037,11359,985,12198712,2149
06037231901,Census Tract 2319.01,037,2820,1019,244763,0
06037232402,Census Tract 2324.02,037,3155,401,543260,0
06037135204,Census Tract 1352.04,037,4915,764,1857531,0
06037460101,Census Tract 4601.01,037,5204,865,5682185,16289
06037132302,Census Tract 1323.02,037,2904,753,647601,0
06037135115,Census Tract 1351.15,037,4309,528,331039,2486
06037132301,Census Tract 1323.01,037,3604,634,631000,0
06037134907,Census Tract 1349.07,037,4209,1011,391494,0
06037119003,Census Tract 1190.03,037,3417,678,842110,9604
06037111401,Census Tract 1114.01,037,2287,344,840800,0
06037103401,Census Tract 1034.01,037,2522,410,1401638,0
06037207400,Census Tract 2074,037,2598,502,862957,6458
06001442900,Census Tract 4429,001,7783,949,2066523,0
06037192410,Census Tract 1924.10,037,4334,748,683899,0
06037192510,Census Tract 1925.10,037,4005,693,340747,0
06037192520,Census Tract 1925.20,037,4836,538,307803,0
06037192610,Census Tract 1926.10,037,4070,550,415408,0
06037192700,Census Tract 1927,037,3018,554,531211,0
06037194500,Census Tract 1945,037,2120,232,685341,0
06037195100,Census Tract 1951,037,4871,565,1566301,329063
06037195300,Census Tract 1953,037,2990,409,580349,0
06095252204,Census Tract 2522.04,095,5874,902,52839593,851127
06095252203,Census Tract 2522.03,095,4299,379,39811222,78902
06095253501,Census Tract 2535.01,095,6523,1082,367197240,17247936
06095252205,Census Tract 2522.05,095,8310,813,35360079,444610
06095252206,Census Tract 2522.06,095,5955,1148,18384642,50178
06095253207,Census Tract 2532.07,095,2606,543,4136566,12208
06095253502,Census Tract 2535.02,095,4953,548,209950826,11633503
06095253208,Census Tract 2532.08,095,4574,860,1568882,0
06001443001,Census Tract 4430.01,001,2802,343,768730,0
06001443002,Census Tract 4430.02,001,6487,734,1580326,0
06001443102,Census Tract 4431.02,001,4593,496,2367415,0
06001443301,Census Tract 4433.01,001,4053,483,1556745,0
06037137501,Census Tract 1375.01,037,5304,788,2514414,0
06037137502,Census Tract 1375.02,037,4580,573,2090222,0
06001444100,Census Tract 4441,001,6846,845,2955571,60526
06001444200,Census Tract 4442,001,6185,730,2069720,0
06037195500,Census Tract 1955,037,5111,744,1215212,0
06037195600,Census Tract 1956,037,2868,508,527583,0
06037195710,Census Tract 1957.10,037,3971,440,483410,0
06037195720,Census Tract 1957.20,037,1745,219,288980,0
06001444400,Census Tract 4444,001,4767,737,1027755,0
06037195802,Census Tract 1958.02,037,2864,380,402524,0
06001444500,Census Tract 4445,001,6644,776,1959283,0
06001450200,Census Tract 4502,001,5916,636,1612601,0
06001450300,Census Tract 4503,001,4988,547,3133641,0
06105000500,Census Tract 5,105,4452,710,3706834372,4577022
06037137504,Census Tract 1375.04,037,1858,306,3837562,0
06037138000,Census Tract 1380,037,4499,519,4472196,0
06037139200,Census Tract 1392,037,5616,693,1152028,0
06087120901,Census Tract 1209.01,087,3575,511,18372491,0
06087120902,Census Tract 1209.02,087,4718,511,6474889,0
06087121601,Census Tract 1216.01,087,3464,560,1171521,1165471
06087122401,Census Tract 1224.01,087,2430,407,69996988,52281
06087121602,Census Tract 1216.02,087,2529,361,882923,784189
06087110503,Census Tract 1105.03,087,3189,365,958946,0
06087110506,Census Tract 1105.06,087,3265,456,798198,0
06087110202,Census Tract 1102.02,087,3969,764,2351625,0
06087110505,Census Tract 1105.05,087,5016,784,1042808,0
06087110201,Census Tract 1102.01,087,3176,974,609672,0
06087110302,Census Tract 1103.02,087,3209,548,442380,0
06087110301,Census Tract 1103.01,087,4096,763,742486,0
06087110401,Census Tract 1104.01,087,3385,563,3940445,0
06087121701,Census Tract 1217.01,087,4409,418,1213469,0
06087121702,Census Tract 1217.02,087,3406,585,1424532,0
06087110102,Census Tract 1101.02,087,4333,851,1090835,0
06087110601,Census Tract 1106.01,087,4692,851,1730342,0
06087122205,Census Tract 1222.05,087,3103,452,2677267,2066146
06087100801,Census Tract 1008.01,087,3988,1048,1132453,0
06087101002,Census Tract 1010.02,087,4366,758,1215116,834526
06087121802,Census Tract 1218.02,087,2273,349,988226,0
06067002300,Census Tract 23,067,3306,397,1213095,0
06067002400,Census Tract 24,067,4878,799,3224718,0
06037143200,Census Tract 1432,037,4367,655,957092,0
06037201301,Census Tract 2013.01,037,3215,745,866189,0
06037201302,Census Tract 2013.02,037,4108,546,991726,0
06037201401,Census Tract 2014.01,037,4131,644,1279501,28686
06037201402,Census Tract 2014.02,037,4143,698,1941232,0
06037236001,Census Tract 2360.01,037,4362,619,2134409,68544
06037236102,Census Tract 2361.02,037,3638,778,498051,0
06037409100,Census Tract 4091,037,5449,629,1557420,0
06037234301,Census Tract 2343.01,037,1984,435,503984,0
06037231601,Census Tract 2316.01,037,2299,580,319388,0
06037231603,Census Tract 2316.03,037,3067,482,320263,0
06037234001,Census Tract 2340.01,037,2522,544,677242,0
06037236205,Census Tract 2362.05,037,2979,357,166993,0
06037206051,Census Tract 2060.51,037,1751,401,3681803,48976
06037231301,Census Tract 2313.01,037,2920,489,233928,0
06037231302,Census Tract 2313.02,037,2933,649,423524,0
06037532607,Census Tract 5326.07,037,5048,609,1103721,902
06037275604,Census Tract 2756.04,037,9869,1161,1550434,0
06037530007,Census Tract 5300.07,037,6369,671,4850739,5565
06037271804,Census Tract 2718.04,037,2402,306,348810,0
06037551002,Census Tract 5510.02,037,4350,765,971988,0
06037502700,Census Tract 5027,037,7159,652,6945743,0
06037502901,Census Tract 5029.01,037,5432,706,1247226,0
06037550801,Census Tract 5508.01,037,5120,883,1587080,0
06037502604,Census Tract 5026.04,037,3630,585,851708,130302
06037276608,Census Tract 2766.08,037,1819,334,360279,0
06037550502,Census Tract 5505.02,037,4226,526,1748455,28328
06037276102,Census Tract 2761.02,037,3429,573,658635,0
06037408707,Census Tract 4087.07,037,6839,775,4950382,1898
06037275312,Census Tract 2753.12,037,1795,239,783490,38298
06037275605,Census Tract 2756.05,037,2915,382,970244,70158
06037533108,Census Tract 5331.08,037,4824,455,645420,0
06037276101,Census Tract 2761.01,037,3441,588,326325,0
06047002403,Census Tract 24.03,047,2554,663,22908868,0
06047002404,Census Tract 24.04,047,5116,674,5175171,0
06047000404,Census Tract 4.04,047,4480,811,83809746,1122411
06047001007,Census Tract 10.07,047,5575,679,7311961,0
06047002305,Census Tract 23.05,047,5833,866,2009165,0
06047002203,Census Tract 22.03,047,5273,737,8215696,0
06047002303,Census Tract 23.03,047,7132,1087,6123166,0
06047002002,Census Tract 20.02,047,7262,645,192152461,2093054
06047002306,Census Tract 23.06,047,2951,436,1132517,0
06047002601,Census Tract 26.01,047,3125,438,26121787,0
06047000305,Census Tract 3.05,047,6611,723,4268714,0
06047002304,Census Tract 23.04,047,2813,408,25690244,761040
06047002001,Census Tract 20.01,047,1061,305,393138949,19015748
06047000904,Census Tract 9.04,047,5511,1059,8626477,0
06047000903,Census Tract 9.03,047,4329,731,13055749,68353
06047001008,Census Tract 10.08,047,8044,1153,7656992,0
06047001604,Census Tract 16.04,047,4425,616,5812575,0
06047000204,Census Tract 2.04,047,4971,727,2558497,0
06047002602,Census Tract 26.02,047,4689,837,20080527,0
06047002204,Census Tract 22.04,047,7070,1657,4384915,0
06047000403,Census Tract 4.03,047,4192,697,34846899,13083
06047001006,Census Tract 10.06,047,4742,637,1923400,0
06047000205,Census Tract 2.05,047,4860,717,2200906,0
06037139301,Census Tract 1393.01,037,4067,751,2865657,0
06037139302,Census Tract 1393.02,037,5394,804,338289,0
06037139502,Census Tract 1395.02,037,3336,450,1047549,0
06037139600,Census Tract 1396,037,5047,608,2477482,0
06037139701,Census Tract 1397.01,037,5166,710,3396397,2411
06037139801,Census Tract 1398.01,037,3631,581,3666763,0
06013324002,Census Tract 3240.02,013,4931,611,2027097,0
06013320004,Census Tract 3200.04,013,6401,726,5911930,20167
06013336201,Census Tract 3362.01,013,3624,489,1240588,0
06013338203,Census Tract 3382.03,013,5620,557,1577045,0
06013338204,Census Tract 3382.04,013,6523,691,2649159,15822
06013345204,Census Tract 3452.04,013,3212,336,14656887,5258
06013345203,Census Tract 3452.03,013,7686,848,26933241,0
06013345112,Census Tract 3451.12,013,8221,742,8496394,0
06013345113,Census Tract 3451.13,013,4859,545,5433439,0
06037143500,Census Tract 1435,037,5377,686,1191719,46468
06037181000,Census Tract 1810,037,5831,821,4108343,30513
06037181500,Census Tract 1815,037,3846,524,1094349,0
06037181600,Census Tract 1816,037,4251,425,1250035,0
06037183101,Census Tract 1831.01,037,3247,360,967955,0
06001441402,Census Tract 4414.02,001,5183,648,1662787,0
06001441501,Census Tract 4415.01,001,5389,638,2858378,0
06001441521,Census Tract 4415.21,001,5937,616,1623727,0
06001441522,Census Tract 4415.22,001,5090,661,1315100,0
06001441601,Census Tract 4416.01,001,4709,528,1296669,0
06037406103,Census Tract 4061.03,037,7285,957,2209499,0
06037920339,Census Tract 9203.39,037,10017,1349,33931849,203805
06037482521,Census Tract 4825.21,037,5261,725,1545510,685
06067001102,Census Tract 11.02,067,1871,362,395485,0
06067001201,Census Tract 12.01,067,2632,258,395405,0
06067006902,Census Tract 69.02,067,3523,1101,1575257,0
06067006802,Census Tract 68.02,067,2137,491,589039,0
06067001103,Census Tract 11.03,067,1441,267,1174182,0
06001441602,Census Tract 4416.02,001,7252,971,1682081,0
06037183220,Census Tract 1832.20,037,2956,338,535234,0
06037183300,Census Tract 1833,037,2812,417,541305,0
06037183510,Census Tract 1835.10,037,2377,332,500438,0
06037183520,Census Tract 1835.20,037,3649,644,427707,0
06037183610,Census Tract 1836.10,037,2694,293,378643,0
06037192300,Census Tract 1923,037,2606,437,879493,0
06001441800,Census Tract 4418,001,6556,1035,2037722,0
06001441921,Census Tract 4419.21,001,3814,493,846804,0
06037195400,Census Tract 1954,037,4306,574,1030345,0
06113010104,Census Tract 101.04,113,6192,1290,2160016,205177
06113010610,Census Tract 106.10,113,3735,585,1666340,0
06113011208,Census Tract 112.08,113,8583,669,173344358,766473
06113011301,Census Tract 113.01,113,2236,510,281773703,378696
06113010313,Census Tract 103.13,113,4961,451,2907711,191381
06113010103,Census Tract 101.03,113,5388,897,2236399,174783
06113010105,Census Tract 101.05,113,1759,419,1069367,54309
06113010315,Census Tract 103.15,113,1281,267,3830258,229910
06001441923,Census Tract 4419.23,001,5915,815,1509388,0
06001442100,Census Tract 4421,001,5064,674,1858816,0
06001442400,Census Tract 4424,001,6227,893,1582838,0
06037183820,Census Tract 1838.20,037,3707,551,308653,0
06037185202,Census Tract 1852.02,037,4198,883,1205737,0
06037185310,Census Tract 1853.10,037,2908,480,421083,0
06037405101,Census Tract 4051.01,037,5403,932,1121229,0
06037185320,Census Tract 1853.20,037,2692,444,556162,0
06037481603,Census Tract 4816.03,037,3711,412,655706,0
06037481001,Census Tract 4810.01,037,4282,702,1049648,0
06037404600,Census Tract 4046,037,1377,163,22853908,2037701
06037800406,Census Tract 8004.06,037,2018,347,90972482,3993989
06037800410,Census Tract 8004.10,037,3815,193,37073474,1363468
06037800504,Census Tract 8005.04,037,2049,429,21592238,3270476
06037800506,Census Tract 8005.06,037,2987,625,26495803,2840764
06067009409,Census Tract 94.09,067,4560,336,4519058,0
06067009643,Census Tract 96.43,067,6295,1059,2232562,0
06067007604,Census Tract 76.04,067,3874,748,1428039,0
06067009652,Census Tract 96.52,067,6235,484,10226696,0
06067009336,Census Tract 93.36,067,4306,663,58878205,112446
06067007111,Census Tract 71.11,067,4543,788,1103046,0
06067009647,Census Tract 96.47,067,6292,623,1555682,0
06067001702,Census Tract 17.02,067,4007,555,2344238,0
06067009649,Census Tract 96.49,067,5485,993,1890613,0
06067009648,Census Tract 96.48,067,3935,1178,1079100,0
06067009650,Census Tract 96.50,067,2977,388,2579482,0
06067008803,Census Tract 88.03,067,2203,461,13694729,0
06067009333,Census Tract 93.33,067,2603,425,878682,0
06067004018,Census Tract 40.18,067,3143,902,894029,0
06067004017,Census Tract 40.17,067,2459,304,979870,0
06067004908,Census Tract 49.08,067,5445,880,1458335,0
06067007023,Census Tract 70.23,067,4711,818,1269957,0
06067007439,Census Tract 74.39,067,4918,845,1866245,0
06067008601,Census Tract 86.01,067,5584,964,30924174,697827
06067004301,Census Tract 43.01,067,5772,1234,1111834,0
06067001202,Census Tract 12.02,067,2070,485,280664,0
06067001701,Census Tract 17.01,067,1859,403,1176165,0
06067004020,Census Tract 40.20,067,2272,493,770849,0
06067004302,Census Tract 43.02,067,4571,547,2666561,0
06067009642,Census Tract 96.42,067,1739,245,558768,0
06067006704,Census Tract 67.04,067,3615,568,1229315,0
06067007024,Census Tract 70.24,067,1851,277,692371,0
06067009644,Census Tract 96.44,067,3530,523,1345790,206655
06067009410,Census Tract 94.10,067,6610,1017,2977224,0
06067007025,Census Tract 70.25,067,2949,422,1234278,0
06067004604,Census Tract 46.04,067,5215,863,1546499,0
06067007026,Census Tract 70.26,067,6023,1392,3898038,349633
06067007110,Census Tract 71.10,067,4795,1177,1135569,28054
06067009334,Census Tract 93.34,067,5791,823,2407166,0
06067009646,Census Tract 96.46,067,3699,1000,1154855,0
06067008707,Census Tract 87.07,067,7011,759,4306941,0
06067008708,Census Tract 87.08,067,4569,307,18504525,217316
06067007108,Census Tract 71.08,067,6463,648,2829484,0
06067009651,Census Tract 96.51,067,5493,629,2204956,0
06067007436,Census Tract 74.36,067,2340,402,2165183,0
06067004907,Census Tract 49.07,067,2424,511,317009,0
06067007028,Census Tract 70.28,067,5386,650,2292798,91922
06067004910,Census Tract 49.10,067,4543,1116,858043,0
06067005003,Census Tract 50.03,067,4309,396,1563753,0
06067007022,Census Tract 70.22,067,2963,475,506402,0
06067009641,Census Tract 96.41,067,4176,710,2046398,0
06067009645,Census Tract 96.45,067,4254,535,1571896,68118
06067004909,Census Tract 49.09,067,2638,310,861168,0
06067008706,Census Tract 87.06,067,2083,194,61003008,0
06067008602,Census Tract 86.02,067,1832,309,285046157,381345
06001440337,Census Tract 4403.37,001,2679,496,1134112,0
06001440338,Census Tract 4403.38,001,3917,840,865406,0
06001451103,Census Tract 4511.03,001,1354,493,60250500,0
06001432602,Census Tract 4326.02,001,3091,440,613212,0
06001451104,Census Tract 4511.04,001,6474,1011,492034442,5503316
06001441928,Census Tract 4419.28,001,4003,529,2533680,253509
06001441929,Census Tract 4419.29,001,3287,459,482755,0
06001441701,Census Tract 4417.01,001,3490,516,1101467,0
06001444304,Census Tract 4443.04,001,7508,868,16787478,0
06001441525,Census Tract 4415.25,001,3328,429,4661895,0
06001436301,Census Tract 4363.01,001,5422,734,1057644,0
06001450400,Census Tract 4504,001,7551,852,3148410,0
06037186401,Census Tract 1864.01,037,2555,433,963513,0
06113011304,Census Tract 113.04,113,1614,368,842947,37578
06113010609,Census Tract 106.09,113,2380,221,947813,0
06113010611,Census Tract 106.11,113,1620,221,481697,0
06113011302,Census Tract 113.02,113,3769,444,3583630,0
06113011211,Census Tract 112.11,113,1927,548,431147,0
06113010314,Census Tract 103.14,113,2436,377,2974652,83360
06113011207,Census Tract 112.07,113,2586,340,96502079,0
06113011210,Census Tract 112.10,113,2476,330,718043,0
06113011209,Census Tract 112.09,113,3592,479,1419667,0
06113011303,Census Tract 113.03,113,1615,422,2245072,57119
06037197200,Census Tract 1972,037,3505,480,744116,32985
06037197300,Census Tract 1973,037,3792,477,654245,0
06039000511,Census Tract 5.11,039,7019,1283,5677448,0
06039000110,Census Tract 1.10,039,4716,1003,121912309,299317
06039000517,Census Tract 5.17,039,2191,565,93185815,0
06039000901,Census Tract 9.01,039,3074,818,1401414,0
06039000802,Census Tract 8.02,039,3886,982,1784448,0
06039000801,Census Tract 8.01,039,2310,397,1020241,0
06039000903,Census Tract 9.03,039,4182,732,1001469,0
06039000516,Census Tract 5.16,039,2626,623,11100018,0
06039000515,Census Tract 5.15,039,3845,747,9580316,0
06031000402,Census Tract 4.02,031,6538,835,66377439,0
06031001601,Census Tract 16.01,031,4061,683,1699007789,2105941
06031001300,Census Tract 13,031,4707,771,45574888,0
06031000200,Census Tract 2,031,2130,318,162714081,15365
06031000100,Census Tract 1,031,2934,409,255205740,75237
06045010601,Census Tract 106.01,045,2995,486,268680253,466551
06031001200,Census Tract 12,031,2444,331,397721534,189281
06045011003,Census Tract 110.03,045,3379,668,70338107,3008957
06045011004,Census Tract 110.04,045,2199,371,182626084,7769102
06031000403,Census Tract 4.03,031,5228,621,4567982,0
06045010602,Census Tract 106.02,045,4691,913,473482139,143510
06045011502,Census Tract 115.02,045,2856,400,3639924,18655
06045011501,Census Tract 115.01,045,3567,710,1597002,0
06001441702,Census Tract 4417.02,001,5046,562,1128742,0
06001433801,Census Tract 4338.01,001,3141,576,600344,0
06001433802,Census Tract 4338.02,001,4079,670,934045,0
06001436302,Census Tract 4363.02,001,3712,458,773495,0
06001436403,Census Tract 4364.03,001,4151,787,1585686,0
06001436404,Census Tract 4364.04,001,3440,502,1573797,0
06001442502,Census Tract 4425.02,001,3892,826,971665,0
06001442501,Census Tract 4425.01,001,3204,704,983968,0
06001450609,Census Tract 4506.09,001,4827,500,2688381,0
06001450608,Census Tract 4506.08,001,3985,571,3513932,0
06001444303,Census Tract 4443.03,001,0,14,5643025,0
06001432601,Census Tract 4326.01,001,3978,706,1060237,0
06001403401,Census Tract 4034.01,001,2724,356,549686,602434
06001403402,Census Tract 4034.02,001,998,193,99215,0
06001403302,Census Tract 4033.02,001,2819,316,719239,104126
06001982100,Census Tract 9821,001,1104,42,1695361,0
06001420302,Census Tract 4203.02,001,2322,328,870122,1109281
06001402801,Census Tract 4028.01,001,2891,556,291472,0
06001402802,Census Tract 4028.02,001,1602,236,118446,0
06001420401,Census Tract 4204.01,001,1406,203,200055,0
06001403301,Census Tract 4033.01,001,1900,310,196598,0
06001422902,Census Tract 4229.02,001,2214,598,385452,0
06001422901,Census Tract 4229.01,001,1768,552,158830,0
06001420402,Census Tract 4204.02,001,1596,261,920050,1632801
06001420301,Census Tract 4203.01,001,2381,341,415655,0
06037197410,Census Tract 1974.10,037,4014,564,1393312,0
06047001603,Census Tract 16.03,047,4152,783,2632143,0
06047000306,Census Tract 3.06,047,3306,616,2903789,0
06007002402,Census Tract 24.02,007,2314,474,598851569,20900226
06007002401,Census Tract 24.01,007,902,164,507745337,24314366
06007001601,Census Tract 16.01,007,2188,744,263207966,49091
06007001602,Census Tract 16.02,007,3721,510,295305270,135907
06007000404,Census Tract 4.04,007,3682,423,4461847,0
06007000403,Census Tract 4.03,007,3372,403,1771441,0
06037197420,Census Tract 1974.20,037,3445,414,615577,0
06037197500,Census Tract 1975,037,3790,460,581662,58811
06037197600,Census Tract 1976,037,2352,483,388305,0
06037197700,Census Tract 1977,037,4690,527,701770,0
06031000405,Census Tract 4.05,031,7435,787,4496376,0
06031000500,Census Tract 5,031,5109,750,31428439,0
06031000602,Census Tract 6.02,031,5815,660,2630039,0
06031000701,Census Tract 7.01,031,5727,691,3393110,0
06031000702,Census Tract 7.02,031,4746,555,4217245,0
06037199110,Census Tract 1991.10,037,2335,580,901969,0
06031000800,Census Tract 8,031,5054,682,10470327,0
06037187102,Census Tract 1871.02,037,4615,875,1954146,236563
06037187200,Census Tract 1872,037,2872,549,918311,33035
06037187300,Census Tract 1873,037,3681,477,1168844,0
06053014110,Census Tract 141.10,053,6637,881,50412420,384071
06053014109,Census Tract 141.09,053,4698,574,75543960,33461
06037670702,Census Tract 6707.02,037,5770,1090,6698210,94012
06037670201,Census Tract 6702.01,037,3994,615,4873145,8019
06031001001,Census Tract 10.01,031,5618,627,6849973,0
06087122204,Census Tract 1222.04,087,3043,505,5969114,0
06087100802,Census Tract 1008.02,087,2965,347,755009,0
06087121501,Census Tract 1215.01,087,2705,420,1239441,790380
06087122402,Census Tract 1224.02,087,4275,689,36229185,122600
06087121502,Census Tract 1215.02,087,2368,369,550183,0
06087122005,Census Tract 1220.05,087,4373,701,2228685,0
06087121801,Census Tract 1218.01,087,1536,277,787684,521221
06087110402,Census Tract 1104.02,087,5066,632,2043363,0
06087110504,Census Tract 1105.04,087,2927,832,514491,0
06087110602,Census Tract 1106.02,087,3237,807,701268,0
06087122004,Census Tract 1220.04,087,2747,585,3317209,0
06087101001,Census Tract 1010.01,087,3777,853,969818,23920
06087110101,Census Tract 1101.01,087,2602,289,1357751,0
06031001002,Census Tract 10.02,031,3981,565,3216057,0
06075020602,Census Tract 206.02,075,2379,445,246264,0
06031001003,Census Tract 10.03,031,7207,745,5454909,0
06031001100,Census Tract 11,031,6760,680,9745934,0
06031001500,Census Tract 15,031,5373,685,2958836,0
06037236400,Census Tract 2364,037,4432,639,1340500,0
06037237500,Census Tract 2375,037,2631,567,337329,0
06065042212,Census Tract 422.12,065,7881,1284,3833888,0
06065042719,Census Tract 427.19,065,5650,695,27249492,279979
06065042723,Census Tract 427.23,065,7972,1810,35291752,0
06065043218,Census Tract 432.18,065,5520,485,4983431,0
06065040807,Census Tract 408.07,065,3384,483,2005907,0
06065040808,Census Tract 408.08,065,6843,1417,1736747,0
06037213201,Census Tract 2132.01,037,4086,580,334942,0
06037213202,Census Tract 2132.02,037,3540,522,337924,0
06037502303,Census Tract 5023.03,037,8128,1054,2331858,0
06037533204,Census Tract 5332.04,037,3972,549,711747,0
06037703003,Census Tract 7030.03,037,6047,669,2015004,5792
06037930400,Census Tract 9304,037,1212,236,1489696833,4805908
06037242202,Census Tract 2422.02,037,2642,396,403612,0
06037128302,Census Tract 1283.02,037,4159,675,688871,0
06037134306,Census Tract 1343.06,037,3560,663,619830,0
06037119320,Census Tract 1193.20,037,4160,483,486438,10184
06037920326,Census Tract 9203.26,037,6971,746,73345319,5135
06037294520,Census Tract 2945.20,037,3493,396,484078,0
06037573202,Census Tract 5732.02,037,6426,1046,649039,0
06037599100,Census Tract 5991,037,554,214,337352192,1098469235
06037460001,Census Tract 4600.01,037,1790,422,5192022,6765
06037554511,Census Tract 5545.11,037,3620,636,2331683,36957
06037408503,Census Tract 4085.03,037,6604,983,4201562,1764
06037243001,Census Tract 2430.01,037,3501,744,346578,0
06037242201,Census Tract 2422.01,037,3869,622,409622,0
06037533504,Census Tract 5335.04,037,3743,507,407829,0
06037403328,Census Tract 4033.28,037,5347,493,2789732,0
06037131021,Census Tract 1310.21,037,3202,673,558128,4317
06037113238,Census Tract 1132.38,037,4171,561,709686,0
06037113428,Census Tract 1134.28,037,4137,1491,1270492,0
06037113423,Census Tract 1134.23,037,2739,706,710674,0
06037119801,Census Tract 1198.01,037,2601,279,609343,2967
06037980035,Census Tract 9800.35,037,758,207,15616085,329041
06037119004,Census Tract 1190.04,037,2708,1098,842714,6812
06037134906,Census Tract 1349.06,037,2888,422,172993,1794
06037101222,Census Tract 1012.22,037,2290,438,296512,0
06037103201,Census Tract 1032.01,037,4275,541,1954789,0
06037320102,Census Tract 3201.02,037,3715,783,1225897,0
06037501301,Census Tract 5013.01,037,3065,599,863521,690
06037408213,Census Tract 4082.13,037,5469,693,1548582,0
06001450603,Census Tract 4506.03,001,4651,654,3918835,0
06067008910,Census Tract 89.10,067,3354,324,1563961,30490
06067009004,Census Tract 90.04,067,3865,699,1381159,0
06037213310,Census Tract 2133.10,037,2660,596,312089,0
06037213320,Census Tract 2133.20,037,2341,556,311438,0
06067008911,Census Tract 89.11,067,2709,565,547162,0
06067008913,Census Tract 89.13,067,4657,775,4213051,259481
06037213401,Census Tract 2134.01,037,4457,581,196100,0
06037214700,Census Tract 2147,037,2677,476,593341,0
06037214800,Census Tract 2148,037,2985,406,577069,0
06037216100,Census Tract 2161,037,2179,369,675030,0
06037216700,Census Tract 2167,037,3519,582,777948,0
06067009503,Census Tract 95.03,067,2760,417,3777408,0
06067009502,Census Tract 95.02,067,7969,856,10402734,0
06067009504,Census Tract 95.04,067,3279,569,2236615,0
06037980031,Census Tract 9800.31,037,972,40,14034188,11917519
06037980033,Census Tract 9800.33,037,21,3,12416590,16221301
06037980025,Census Tract 9800.25,037,483,210,3846976,47642
06037980028,Census Tract 9800.28,037,0,14,17335397,2387924
06037980022,Census Tract 9800.22,037,0,14,5584581,867525
06037980030,Census Tract 9800.30,037,0,14,4248793,976856
06037408703,Census Tract 4087.03,037,5326,488,17112893,0
06037408722,Census Tract 4087.22,037,3963,557,2105580,0
06037980038,Census Tract 9800.38,037,0,14,4516322,276
06037980036,Census Tract 9800.36,037,557,398,7874875,881707
06037980039,Census Tract 9800.39,037,0,14,1315765,44555
06037980023,Census Tract 9800.23,037,63,90,5192771,27323
06037910214,Census Tract 9102.14,037,5692,496,4388156,3940
06037910218,Census Tract 9102.18,037,4437,513,16761157,4465
06037910216,Census Tract 9102.16,037,4819,1147,2759165,26402
06031981800,Census Tract 9818,031,3365,118,2279423,0
06001450604,Census Tract 4506.04,001,4843,457,2113004,0
06001450605,Census Tract 4506.05,001,3895,426,1770810,0
06065030300,Census Tract 303,065,4390,629,2481821,0
06065030400,Census Tract 304,065,6319,1045,2739698,0
06065030501,Census Tract 305.01,065,5110,746,1880155,0
06035040200,Census Tract 402,035,2481,445,1845002204,131027566
06035040500,Census Tract 405,035,2910,374,150053328,220013
06035040100,Census Tract 401,035,1289,271,7529615915,87655360
06035040400,Census Tract 404,035,6093,418,391664039,6213500
06035040302,Census Tract 403.02,035,4660,487,232694549,5258755
06035040600,Census Tract 406,035,3640,352,1323389572,230720440
06011000302,Census Tract 3.02,011,2592,477,847242450,195373
06011000301,Census Tract 3.01,011,4197,623,105502113,0
06037532102,Census Tract 5321.02,037,3618,383,1004075,17978
06037480201,Census Tract 4802.01,037,3689,329,1531132,1750
06037430501,Census Tract 4305.01,037,4231,488,4700349,9251
06065040901,Census Tract 409.01,065,8410,1094,2076237,0
06065040903,Census Tract 409.03,065,3059,410,855032,0
06065040904,Census Tract 409.04,065,3918,444,1251984,0
06037213402,Census Tract 2134.02,037,4335,716,391846,0
06037214000,Census Tract 2140,037,3736,745,1011538,0
06037214100,Census Tract 2141,037,4138,495,1108280,0
06037214400,Census Tract 2144,037,2981,358,344250,0
06067009005,Census Tract 90.05,067,3551,477,15678682,15597
06067009006,Census Tract 90.06,067,5444,689,2897427,0
06037216800,Census Tract 2168,037,3402,393,739832,0
06037551203,Census Tract 5512.03,037,4150,946,722769,0
06037551001,Census Tract 5510.01,037,3159,358,1382168,55541
06037550501,Census Tract 5505.01,037,3904,597,828627,62138
06037276605,Census Tract 2766.05,037,2452,856,237796,0
06037276607,Census Tract 2766.07,037,2709,425,478080,0
06037550802,Census Tract 5508.02,037,2149,406,1275581,36294
06037217200,Census Tract 2172,037,3809,602,919065,0
06037218110,Census Tract 2181.10,037,3153,744,598606,0
06037218210,Census Tract 2182.10,037,4113,740,388481,0
06037218220,Census Tract 2182.20,037,3811,575,672776,0
06037218300,Census Tract 2183,037,4547,822,891391,9418
06037650607,Census Tract 6506.07,037,2858,510,505720,0
06037131023,Census Tract 1310.23,037,2615,317,584038,4987
