relationship_id,article_id,date,url,normalized_url,domain,publisher,title,description,language,author,gkg_record_id,location_type,location_name,country_code,adm1_code,adm2_code,latitude,longitude,feature_id,character_offset,gkg_location_source,coc_number,coc_name,coc_mapping_method
1,gdelt_gal_f0e692485bdeeb2695059c9b,2024-01-01 12:31:00+00:00,https://www.businessinsider.com/homeless-people-vancouver-universal-basic-income-2024-1,https://www.businessinsider.com/homeless-people-vancouver-universal-basic-income-2024-1,businessinsider.com,Business Insider,"Homeless people in Vancouver were given $5,500 cash, no strings attached. They used it to secure housing and even start saving.","Homeless people in Vancouver got a lump sum of $5,500, no strings attached. How they used the cash shows universal basic income alleviates poverty.",en,Lloyd Lee,20240101124500-1021,3,"Stockton, California, United States",US,USCA,CA077,37.9577,-121.291,1659872,278,GDELT GKG V2Locations,CA-511,Stockton/San Joaquin County CoC,gkg_point_in_coc
2,gdelt_gal_fd70f0fa99178921cf526f25,2024-01-01 14:00:50+00:00,https://www.sandiegouniontribune.com/news/homelessness/story/2024-01-01/more-homeless-people-are-asking-for-shelter-amid-san-diegos-camping-ban-many-dont-get-a-bed,https://www.sandiegouniontribune.com/news/homelessness/story/2024-01-01/more-homeless-people-are-asking-for-shelter-amid-san-diegos-camping-ban-many-dont-get-a-bed,sandiegouniontribune.com,San Diego Union-Tribune,More homeless people are asking for shelter amid San Diego's camping ban. Many don't get a bed.,"Data shows that 4 out of 5 requests to stay at facilities overseen by the city's Housing Commission fail, although spots remain open at safe sleeping sites.",en,,20240101144500-351,3,"San Diego, California, United States",US,USCA,CA073,32.7153,-117.157,1661377,347,GDELT GKG V2Locations,CA-601,San Diego City and County CoC,gkg_point_in_coc
3,gdelt_gal_fd70f0fa99178921cf526f25,2024-01-01 14:00:50+00:00,https://www.sandiegouniontribune.com/news/homelessness/story/2024-01-01/more-homeless-people-are-asking-for-shelter-amid-san-diegos-camping-ban-many-dont-get-a-bed,https://www.sandiegouniontribune.com/news/homelessness/story/2024-01-01/more-homeless-people-are-asking-for-shelter-amid-san-diegos-camping-ban-many-dont-get-a-bed,sandiegouniontribune.com,San Diego Union-Tribune,More homeless people are asking for shelter amid San Diego's camping ban. Many don't get a bed.,"Data shows that 4 out of 5 requests to stay at facilities overseen by the city's Housing Commission fail, although spots remain open at safe sleeping sites.",en,,20240101144500-351,3,"Balboa Park, California, United States",US,USCA,CA075,37.7249,-122.446,218563,961,GDELT GKG V2Locations,CA-501,San Francisco CoC,gkg_point_in_coc
4,gdelt_gal_fd70f0fa99178921cf526f25,2024-01-01 14:00:50+00:00,https://www.sandiegouniontribune.com/news/homelessness/story/2024-01-01/more-homeless-people-are-asking-for-shelter-amid-san-diegos-camping-ban-many-dont-get-a-bed,https://www.sandiegouniontribune.com/news/homelessness/story/2024-01-01/more-homeless-people-are-asking-for-shelter-amid-san-diegos-camping-ban-many-dont-get-a-bed,sandiegouniontribune.com,San Diego Union-Tribune,More homeless people are asking for shelter amid San Diego's camping ban. Many don't get a bed.,"Data shows that 4 out of 5 requests to stay at facilities overseen by the city's Housing Commission fail, although spots remain open at safe sleeping sites.",en,,20240101144500-351,3,"Point Loma, California, United States",US,USCA,CA073,32.7001,-117.247,247638,4056,GDELT GKG V2Locations,CA-601,San Diego City and County CoC,gkg_point_in_coc
5,gdelt_gal_24d15e2ac4a33c4fc2a4b64e,2024-01-01 20:00:00+00:00,https://timesofsandiego.com/opinion/2024/01/01/editorial-attack-on-sunbreak-ranch-a-slap-in-face-to-many-working-to-end-homelessness/,https://timesofsandiego.com/opinion/2024/01/01/editorial-attack-on-sunbreak-ranch-a-slap-in-face-to-many-working-to-end-homelessness,timesofsandiego.com,Times of San Diego,Opinion: Editorial Attack on Sunbreak Ranch a 'Slap in Face' to Many Working to End Homelessness,A recent newspaper editorial attacking Sunbreak Ranch is a slap in the face to hundreds of business and political leaders seeking a real solution to homlessness.,en,Casey Gwinn,20240101203000-650,3,"San Diego, California, United States",US,USCA,CA073,32.7153,-117.157,1661377,294,GDELT GKG V2Locations,CA-601,San Diego City and County CoC,gkg_point_in_coc
6,gdelt_gal_cb5627ccb21e636defdf2dea,2024-01-02 00:47:00+00:00,https://www.charlotteobserver.com/news/nation-world/national/article283722118.html,https://www.charlotteobserver.com/news/nation-world/national/article283722118.html,charlotteobserver.com,Charlotte Observer,More homeless people are asking for shelter amid San Diego’s camping ban. Many don’t get a bed,SAN DIEGO — It's a common refrain.,en,,20240102010000-273,3,"San Diego, California, United States",US,USCA,CA073,32.7153,-117.157,1661377,59,GDELT GKG V2Locations,CA-601,San Diego City and County CoC,gkg_point_in_coc
7,gdelt_gal_cb5627ccb21e636defdf2dea,2024-01-02 00:47:00+00:00,https://www.charlotteobserver.com/news/nation-world/national/article283722118.html,https://www.charlotteobserver.com/news/nation-world/national/article283722118.html,charlotteobserver.com,Charlotte Observer,More homeless people are asking for shelter amid San Diego’s camping ban. Many don’t get a bed,SAN DIEGO — It's a common refrain.,en,,20240102010000-273,3,"Balboa Park, California, United States",US,USCA,CA075,37.7249,-122.446,218563,1161,GDELT GKG V2Locations,CA-501,San Francisco CoC,gkg_point_in_coc
8,gdelt_gal_cb5627ccb21e636defdf2dea,2024-01-02 00:47:00+00:00,https://www.charlotteobserver.com/news/nation-world/national/article283722118.html,https://www.charlotteobserver.com/news/nation-world/national/article283722118.html,charlotteobserver.com,Charlotte Observer,More homeless people are asking for shelter amid San Diego’s camping ban. Many don’t get a bed,SAN DIEGO — It's a common refrain.,en,,20240102010000-273,3,"Point Loma, California, United States",US,USCA,CA073,32.7001,-117.247,247638,4240,GDELT GKG V2Locations,CA-601,San Diego City and County CoC,gkg_point_in_coc
9,gdelt_gal_70af9c2a5299fec65e72a612,2024-01-02 02:00:00+00:00,https://m.lasvegassun.com/news/2024/jan/02/attitudes-must-change-if-we-are-to-house-the-unhou/,https://m.lasvegassun.com/news/2024/jan/02/attitudes-must-change-if-we-are-to-house-the-unhou,m.lasvegassun.com,Las Vegas Sun,Attitudes must change if we are to house the unhoused,How does a society hellbent on punishing those it perceives as undeserving embrace legislation that just gives the “undeserving” money?,en,,20240103060000-406,3,"Venice Beach, California, United States",US,USCA,CA081,37.4797,-122.451,237043,1960,GDELT GKG V2Locations,CA-512,Daly City/San Mateo County CoC,gkg_point_in_coc
10,gdelt_gal_70af9c2a5299fec65e72a612,2024-01-02 02:00:00+00:00,https://m.lasvegassun.com/news/2024/jan/02/attitudes-must-change-if-we-are-to-house-the-unhou/,https://m.lasvegassun.com/news/2024/jan/02/attitudes-must-change-if-we-are-to-house-the-unhou,m.lasvegassun.com,Las Vegas Sun,Attitudes must change if we are to house the unhoused,How does a society hellbent on punishing those it perceives as undeserving embrace legislation that just gives the “undeserving” money?,en,,20240103060000-406,3,"San Francisco, California, United States",US,USCA,CA075,37.7749,-122.419,277593,3109,GDELT GKG V2Locations,CA-501,San Francisco CoC,gkg_point_in_coc
11,gdelt_gal_808d660caf501cf3892c7316,2024-01-02 02:00:00+00:00,https://lasvegassun.com/news/2024/jan/02/attitudes-must-change-if-we-are-to-house-the-unhou/,https://lasvegassun.com/news/2024/jan/02/attitudes-must-change-if-we-are-to-house-the-unhou,lasvegassun.com,Las Vegas Sun,Attitudes must change if we are to house the unhoused,How does a society hellbent on punishing those it perceives as undeserving embrace legislation that just gives the “undeserving” money?,en,,20240103070000-902,3,"Venice Beach, California, United States",US,USCA,CA081,37.4797,-122.451,237043,1981,GDELT GKG V2Locations,CA-512,Daly City/San Mateo County CoC,gkg_point_in_coc
12,gdelt_gal_808d660caf501cf3892c7316,2024-01-02 02:00:00+00:00,https://lasvegassun.com/news/2024/jan/02/attitudes-must-change-if-we-are-to-house-the-unhou/,https://lasvegassun.com/news/2024/jan/02/attitudes-must-change-if-we-are-to-house-the-unhou,lasvegassun.com,Las Vegas Sun,Attitudes must change if we are to house the unhoused,How does a society hellbent on punishing those it perceives as undeserving embrace legislation that just gives the “undeserving” money?,en,,20240103070000-902,3,"San Francisco, California, United States",US,USCA,CA075,37.7749,-122.419,277593,3130,GDELT GKG V2Locations,CA-501,San Francisco CoC,gkg_point_in_coc
13,gdelt_gal_79d4f5bea5e217d031e544a3,2024-01-02 02:00:05+00:00,https://www.sandiegouniontribune.com/news/homelessness/story/2024-01-01/when-a-housing-voucher-runs-out-tough-choices-remain-for-people-on-the-verge-of-homelessness,https://www.sandiegouniontribune.com/news/homelessness/story/2024-01-01/when-a-housing-voucher-runs-out-tough-choices-remain-for-people-on-the-verge-of-homelessness,sandiegouniontribune.com,San Diego Union-Tribune,"When a housing voucher runs out, tough choices remain for people on the verge of homelessness",Helping residents pay rent can keep them off the street. Can finite resources keep up with rising costs?,en,,20240102024500-673,3,"San Diego, California, United States",US,USCA,CA073,32.7153,-117.157,1661377,301,GDELT GKG V2Locations,CA-601,San Diego City and County CoC,gkg_point_in_coc
14,gdelt_gal_48eb2522f01e96329ed1c07e,2024-01-02 03:16:00+00:00,https://www.tri-cityherald.com/news/nation-world/national/article283722118.html,https://www.tri-cityherald.com/news/nation-world/national/article283722118.html,tri-cityherald.com,Tri-City Herald,More homeless people are asking for shelter amid San Diego’s camping ban. Many don’t get a bed,SAN DIEGO — It's a common refrain.,en,,20240102033000-261,3,"San Diego, California, United States",US,USCA,CA073,32.7153,-117.157,1661377,59,GDELT GKG V2Locations,CA-601,San Diego City and County CoC,gkg_point_in_coc
15,gdelt_gal_48eb2522f01e96329ed1c07e,2024-01-02 03:16:00+00:00,https://www.tri-cityherald.com/news/nation-world/national/article283722118.html,https://www.tri-cityherald.com/news/nation-world/national/article283722118.html,tri-cityherald.com,Tri-City Herald,More homeless people are asking for shelter amid San Diego’s camping ban. Many don’t get a bed,SAN DIEGO — It's a common refrain.,en,,20240102033000-261,3,"Balboa Park, California, United States",US,USCA,CA075,37.7249,-122.446,218563,1161,GDELT GKG V2Locations,CA-501,San Francisco CoC,gkg_point_in_coc
16,gdelt_gal_48eb2522f01e96329ed1c07e,2024-01-02 03:16:00+00:00,https://www.tri-cityherald.com/news/nation-world/national/article283722118.html,https://www.tri-cityherald.com/news/nation-world/national/article283722118.html,tri-cityherald.com,Tri-City Herald,More homeless people are asking for shelter amid San Diego’s camping ban. Many don’t get a bed,SAN DIEGO — It's a common refrain.,en,,20240102033000-261,3,"Point Loma, California, United States",US,USCA,CA073,32.7001,-117.247,247638,4240,GDELT GKG V2Locations,CA-601,San Diego City and County CoC,gkg_point_in_coc
17,gdelt_gal_eda4f9f0ea24d04084098002,2024-01-02 03:46:00+00:00,https://www.tri-cityherald.com/news/nation-world/national/article283726528.html,https://www.tri-cityherald.com/news/nation-world/national/article283726528.html,tri-cityherald.com,Tri-City Herald,"When a housing voucher runs out, tough choices remain for people on the verge of homelessness","On a fall Saturday, a little before her 60th birthday, Allison Blanks got a letter.",en,,20240102040000-107,3,"San Diego, California, United States",US,USCA,CA073,32.7153,-117.157,1661377,124,GDELT GKG V2Locations,CA-601,San Diego City and County CoC,gkg_point_in_coc
18,gdelt_gal_fc916f7b1c5103132cd5f666,2024-01-02 07:23:09+00:00,https://www.postnewsgroup.com/kaplan-councilmembers-support-expanded-safe-car-park-program-for-unhoused/,https://www.postnewsgroup.com/kaplan-councilmembers-support-expanded-safe-car-park-program-for-unhoused,postnewsgroup.com,Post News Group | PNG,"Kaplan, Councilmembers Support Expanded Safe Car Park Program for Unhoused","The need for safe overnight parking is crucial and well-documented, according to Kaplan. In January 2022, the Point-In-Time Homeless Count and Survey revealed that there are more than 3,337 unsheltered individuals in Oakland, and the number of people living in their vehicles has increased. Homelessness is a complex crisis that requires both short-term and long-term solutions, she said.",en,,20240102081500-116,3,"Oakland, California, United States",US,USCA,CA001,37.8044,-122.271,277566,44,GDELT GKG V2Locations,CA-502,"Oakland, Berkeley/Alameda County CoC",gkg_point_in_coc
19,gdelt_gal_fc916f7b1c5103132cd5f666,2024-01-02 07:23:09+00:00,https://www.postnewsgroup.com/kaplan-councilmembers-support-expanded-safe-car-park-program-for-unhoused/,https://www.postnewsgroup.com/kaplan-councilmembers-support-expanded-safe-car-park-program-for-unhoused,postnewsgroup.com,Post News Group | PNG,"Kaplan, Councilmembers Support Expanded Safe Car Park Program for Unhoused","The need for safe overnight parking is crucial and well-documented, according to Kaplan. In January 2022, the Point-In-Time Homeless Count and Survey revealed that there are more than 3,337 unsheltered individuals in Oakland, and the number of people living in their vehicles has increased. Homelessness is a complex crisis that requires both short-term and long-term solutions, she said.",en,,20240102081500-116,3,"San Francisco, California, United States",US,USCA,CA075,37.7749,-122.419,277593,1500,GDELT GKG V2Locations,CA-501,San Francisco CoC,gkg_point_in_coc
20,gdelt_gal_fc916f7b1c5103132cd5f666,2024-01-02 07:23:09+00:00,https://www.postnewsgroup.com/kaplan-councilmembers-support-expanded-safe-car-park-program-for-unhoused/,https://www.postnewsgroup.com/kaplan-councilmembers-support-expanded-safe-car-park-program-for-unhoused,postnewsgroup.com,Post News Group | PNG,"Kaplan, Councilmembers Support Expanded Safe Car Park Program for Unhoused","The need for safe overnight parking is crucial and well-documented, according to Kaplan. In January 2022, the Point-In-Time Homeless Count and Survey revealed that there are more than 3,337 unsheltered individuals in Oakland, and the number of people living in their vehicles has increased. Homelessness is a complex crisis that requires both short-term and long-term solutions, she said.",en,,20240102081500-116,3,"Coit Tower, California, United States",US,USCA,CA075,37.8024,-122.406,1988649,2400,GDELT GKG V2Locations,CA-501,San Francisco CoC,gkg_point_in_coc
21,gdelt_gal_3d6848c5765cd710cbd4e849,2024-01-02 09:47:00+00:00,https://www.ncronline.org/opinion/guest-voices/homelessness-crisis-shows-our-country-needs-new-national-story,https://www.ncronline.org/opinion/guest-voices/homelessness-crisis-shows-our-country-needs-new-national-story,ncronline.org,National Catholic Reporter,Homelessness crisis shows our country needs a new national story,"We need a new story in which we are bound in love and justice to the tens of thousands of persons living and dying on our streets, writes commentator David DeCosse.",en,,20240102100000-832,3,"Los Angeles, California, United States",US,USCA,CA037,34.0522,-118.244,1662328,102,GDELT GKG V2Locations,CA-600,Los Angeles City & County CoC,gkg_point_in_coc
22,gdelt_gal_3d6848c5765cd710cbd4e849,2024-01-02 09:47:00+00:00,https://www.ncronline.org/opinion/guest-voices/homelessness-crisis-shows-our-country-needs-new-national-story,https://www.ncronline.org/opinion/guest-voices/homelessness-crisis-shows-our-country-needs-new-national-story,ncronline.org,National Catholic Reporter,Homelessness crisis shows our country needs a new national story,"We need a new story in which we are bound in love and justice to the tens of thousands of persons living and dying on our streets, writes commentator David DeCosse.",en,,20240102100000-832,3,"San Francisco, California, United States",US,USCA,CA075,37.7749,-122.419,277593,1928,GDELT GKG V2Locations,CA-501,San Francisco CoC,gkg_point_in_coc
23,gdelt_gal_3d6848c5765cd710cbd4e849,2024-01-02 09:47:00+00:00,https://www.ncronline.org/opinion/guest-voices/homelessness-crisis-shows-our-country-needs-new-national-story,https://www.ncronline.org/opinion/guest-voices/homelessness-crisis-shows-our-country-needs-new-national-story,ncronline.org,National Catholic Reporter,Homelessness crisis shows our country needs a new national story,"We need a new story in which we are bound in love and justice to the tens of thousands of persons living and dying on our streets, writes commentator David DeCosse.",en,,20240102100000-832,3,"Santa Clara University, California, United States",US,USCA,CA085,37.3495,-121.937,236867,2754,GDELT GKG V2Locations,CA-500,San Jose/Santa Clara City & County CoC,gkg_point_in_coc
24,gdelt_gal_3d6848c5765cd710cbd4e849,2024-01-02 09:47:00+00:00,https://www.ncronline.org/opinion/guest-voices/homelessness-crisis-shows-our-country-needs-new-national-story,https://www.ncronline.org/opinion/guest-voices/homelessness-crisis-shows-our-country-needs-new-national-story,ncronline.org,National Catholic Reporter,Homelessness crisis shows our country needs a new national story,"We need a new story in which we are bound in love and justice to the tens of thousands of persons living and dying on our streets, writes commentator David DeCosse.",en,,20240102100000-832,3,"Baldwin Hills, California, United States",US,USCA,CA037,34.0058,-118.341,1946939,3357,GDELT GKG V2Locations,CA-600,Los Angeles City & County CoC,gkg_point_in_coc
25,gdelt_gal_0191a33c629cedd259e1e47c,2024-01-02 10:05:00+00:00,https://www.westhawaiitoday.com/2024/01/02/nation-world-news/more-homeless-people-are-asking-for-shelter-amid-san-diegos-camping-ban-many-dont-get-a-bed/,https://www.westhawaiitoday.com/2024/01/02/nation-world-news/more-homeless-people-are-asking-for-shelter-amid-san-diegos-camping-ban-many-dont-get-a-bed,westhawaiitoday.com,West Hawaii Today,More homeless people are asking for shelter amid San Diego’s camping ban. Many don’t get a bed - West Hawaii Today,SAN DIEGO — It’s a common refrain.,en,,20240102140000-434,3,"San Diego, California, United States",US,USCA,CA073,32.7153,-117.157,1661377,9,GDELT GKG V2Locations,CA-601,San Diego City and County CoC,gkg_point_in_coc
26,gdelt_gal_0191a33c629cedd259e1e47c,2024-01-02 10:05:00+00:00,https://www.westhawaiitoday.com/2024/01/02/nation-world-news/more-homeless-people-are-asking-for-shelter-amid-san-diegos-camping-ban-many-dont-get-a-bed/,https://www.westhawaiitoday.com/2024/01/02/nation-world-news/more-homeless-people-are-asking-for-shelter-amid-san-diegos-camping-ban-many-dont-get-a-bed,westhawaiitoday.com,West Hawaii Today,More homeless people are asking for shelter amid San Diego’s camping ban. Many don’t get a bed - West Hawaii Today,SAN DIEGO — It’s a common refrain.,en,,20240102140000-434,3,"Balboa Park, California, United States",US,USCA,CA075,37.7249,-122.446,218563,1008,GDELT GKG V2Locations,CA-501,San Francisco CoC,gkg_point_in_coc
27,gdelt_gal_0191a33c629cedd259e1e47c,2024-01-02 10:05:00+00:00,https://www.westhawaiitoday.com/2024/01/02/nation-world-news/more-homeless-people-are-asking-for-shelter-amid-san-diegos-camping-ban-many-dont-get-a-bed/,https://www.westhawaiitoday.com/2024/01/02/nation-world-news/more-homeless-people-are-asking-for-shelter-amid-san-diegos-camping-ban-many-dont-get-a-bed,westhawaiitoday.com,West Hawaii Today,More homeless people are asking for shelter amid San Diego’s camping ban. Many don’t get a bed - West Hawaii Today,SAN DIEGO — It’s a common refrain.,en,,20240102140000-434,3,"Point Loma, California, United States",US,USCA,CA073,32.7001,-117.247,247638,4087,GDELT GKG V2Locations,CA-601,San Diego City and County CoC,gkg_point_in_coc
28,gdelt_gal_7a07dd191fe04ad4643af0ea,2024-01-02 11:32:00+00:00,https://news.yahoo.com/asheville-contractor-wins-default-judgment-101752452.html,https://news.yahoo.com/asheville-contractor-wins-default-judgment-101752452.html,news.yahoo.com,Yahoo News,Asheville contractor wins default judgment against Ramada homeless housing developer,"An Asheville contractor brought onto the Ramada conversion, intended to create housing for the homeless, sued the developer over alleged nonpayment.",en,,20240102114500-654,3,"Ramada, California, United States",US,USCA,CA007,39.5554,-121.711,1659460,29,GDELT GKG V2Locations,CA-519,"Chico, Paradise/Butte County CoC",gkg_point_in_coc
29,gdelt_gal_6f098ed5dd143a320be58c37,2024-01-02 12:00:00+00:00,https://voiceofsandiego.org/2024/01/02/north-county-cities-are-ramping-up-homeless-solutions-for-their-own-residents/,https://voiceofsandiego.org/2024/01/02/north-county-cities-are-ramping-up-homeless-solutions-for-their-own-residents,voiceofsandiego.org,Voice of San Diego,North County Cities Are Ramping Up Homeless Solutions for Their Own Residents,"North County leaders are making plans for various new homeless services in the new year. In a region that has historically lacked homeless resources, leaders’ ability to deliver will determine whether North County will start to see more progress.",en,Tigist Layne,20240102151500-132,3,"San Diego, California, United States",US,USCA,CA073,32.7153,-117.157,1661377,143,GDELT GKG V2Locations,CA-601,San Diego City and County CoC,gkg_point_in_coc
30,gdelt_gal_8706cabf96535eef3f5fe123,2024-01-02 12:15:00+00:00,https://voiceofsandiego.org/2024/01/02/morning-report-as-north-county-homelessness-rises-its-leaders-are-owning-the-problem/,https://voiceofsandiego.org/2024/01/02/morning-report-as-north-county-homelessness-rises-its-leaders-are-owning-the-problem,voiceofsandiego.org,Voice of San Diego,"Morning Report: As North County Homelessness Rises, Its Leaders are Owning the Problem",This week we’re rolling out a Voice of San Diego reporting project on all things that we predict are going to be big in the new year. We’re calling it: It’s Gonna Blow. We take the phrase to describe things that seem like they’re bound to happen but don’t. San Diego has a lot of […],en,,20240102151500-1585,3,"San Diego, California, United States",US,USCA,CA073,32.7153,-117.157,1661377,47,GDELT GKG V2Locations,CA-601,San Diego City and County CoC,gkg_point_in_coc
31,gdelt_gal_e7016abcd6d1a87630d8dace,2024-01-02 16:16:00+00:00,https://news.yahoo.com/san-diego-group-uses-wildfire-150020066.html,https://news.yahoo.com/san-diego-group-uses-wildfire-150020066.html,news.yahoo.com,Yahoo News,How a San Diego group uses wildfire reduction work to treat homelessness,"After discovering an elaborate encampment in a fire-prone canyon, a group in San Diego was inspired to develop a skills training program for unhoused people.",en,,20240102163000-1310,3,"San Diego, California, United States",US,USCA,CA073,32.7153,-117.157,1661377,118,GDELT GKG V2Locations,CA-601,San Diego City and County CoC,gkg_point_in_coc
32,gdelt_gal_e7016abcd6d1a87630d8dace,2024-01-02 16:16:00+00:00,https://news.yahoo.com/san-diego-group-uses-wildfire-150020066.html,https://news.yahoo.com/san-diego-group-uses-wildfire-150020066.html,news.yahoo.com,Yahoo News,How a San Diego group uses wildfire reduction work to treat homelessness,"After discovering an elaborate encampment in a fire-prone canyon, a group in San Diego was inspired to develop a skills training program for unhoused people.",en,,20240102163000-1310,3,"Mission Hills, California, United States",US,USCA,CA037,34.2572,-118.467,246007,251,GDELT GKG V2Locations,CA-600,Los Angeles City & County CoC,gkg_point_in_coc
33,gdelt_gal_0a9f92d52ac4a07f0f3f5474,2024-01-02 16:31:00+00:00,https://news.yahoo.com/homeless-man-struck-killed-vehicle-150246494.html,https://news.yahoo.com/homeless-man-struck-killed-vehicle-150246494.html,news.yahoo.com,Yahoo News,"Homeless man struck, killed by vehicle in South L.A.","A pedestrian was struck and killed in the Jefferson Park neighborhood in South Los Angeles Monday night. The pedestrian, a homeless man believed to be about 50 years old, was hit at about 11:25 p.m. in the 2600 block of South Arlington Avenue, according to the Los Angeles Police Department. He was in the roadway […]",en,,20240102164500-1665,3,"Jefferson Park, California, United States",US,USCA,CA037,34.0272,-118.318,1732784,54,GDELT GKG V2Locations,CA-600,Los Angeles City & County CoC,gkg_point_in_coc
34,gdelt_gal_0a9f92d52ac4a07f0f3f5474,2024-01-02 16:31:00+00:00,https://news.yahoo.com/homeless-man-struck-killed-vehicle-150246494.html,https://news.yahoo.com/homeless-man-struck-killed-vehicle-150246494.html,news.yahoo.com,Yahoo News,"Homeless man struck, killed by vehicle in South L.A.","A pedestrian was struck and killed in the Jefferson Park neighborhood in South Los Angeles Monday night. The pedestrian, a homeless man believed to be about 50 years old, was hit at about 11:25 p.m. in the 2600 block of South Arlington Avenue, according to the Los Angeles Police Department. He was in the roadway […]",en,,20240102164500-1665,3,"Los Angeles, California, United States",US,USCA,CA037,34.0522,-118.244,1662328,103,GDELT GKG V2Locations,CA-600,Los Angeles City & County CoC,gkg_point_in_coc
35,gdelt_gal_24e6ec67925d0d16e959cf2b,2024-01-03 01:01:37+00:00,https://www.whqr.org/2024-01-02/lender-forecloses-on-ramada-inn-site-promised-by-developer-to-serve-citys-unhoused-now-what,https://www.whqr.org/2024-01-02/lender-forecloses-on-ramada-inn-site-promised-by-developer-to-serve-citys-unhoused-now-what,whqr.org,WHQR,"Lender forecloses on Ramada Inn, site promised by developer to serve city’s unhoused. Now what?","Foreclosure comes as local contractor Beverly-Grant gets default judgment against the developer for nearly $400,000 for unpaid work.",en,,20240103023000-931,3,"Ramada, California, United States",US,USCA,CA007,39.5554,-121.711,1659460,84,GDELT GKG V2Locations,CA-519,"Chico, Paradise/Butte County CoC",gkg_point_in_coc
36,gdelt_gal_d0254827a45f6e0878e8be50,2024-01-03 01:20:26+00:00,https://eurweb.com/2024/criminals-use-homeless-camps-for-illegal-activity/,https://eurweb.com/2024/criminals-use-homeless-camps-for-illegal-activity,eurweb.com,EURweb,Criminals in Los Angeles Use Homeless Camps in for Illegal Activity | EURweb,"According to the Los Angeles Police Department, criminals are using homeless camps to conduct illegal activities.",en,Ny MaGee,20240103033000-436,3,"Los Angeles, California, United States",US,USCA,CA037,34.0522,-118.244,1662328,104,GDELT GKG V2Locations,CA-600,Los Angeles City & County CoC,gkg_point_in_coc
37,gdelt_gal_bca82ede5789ef40151dc0eb,2024-01-03 01:33:12+00:00,https://www.sandiegouniontribune.com/opinion/commentary/story/2024-01-02/opinion-san-diego-h-barracks-homeless-shelter-housing-point-loma,https://www.sandiegouniontribune.com/opinion/commentary/story/2024-01-02/opinion-san-diego-h-barracks-homeless-shelter-housing-point-loma,sandiegouniontribune.com,San Diego Union-Tribune,Opinion: San Diego urgently needs more homeless shelters. This abandoned lot could change the game.,"While the estimated startup budget is between $15 million to $20 million, this is significantly less than the cost of adding or acquiring permanent housing",en,,20240103020000-45,3,"San Diego, California, United States",US,USCA,CA073,32.7153,-117.157,1661377,47,GDELT GKG V2Locations,CA-601,San Diego City and County CoC,gkg_point_in_coc
38,gdelt_gal_bca82ede5789ef40151dc0eb,2024-01-03 01:33:12+00:00,https://www.sandiegouniontribune.com/opinion/commentary/story/2024-01-02/opinion-san-diego-h-barracks-homeless-shelter-housing-point-loma,https://www.sandiegouniontribune.com/opinion/commentary/story/2024-01-02/opinion-san-diego-h-barracks-homeless-shelter-housing-point-loma,sandiegouniontribune.com,San Diego Union-Tribune,Opinion: San Diego urgently needs more homeless shelters. This abandoned lot could change the game.,"While the estimated startup budget is between $15 million to $20 million, this is significantly less than the cost of adding or acquiring permanent housing",en,,20240103020000-45,3,"Ocean Beach, California, United States",US,USCA,CA073,32.7445,-117.255,1661134,85,GDELT GKG V2Locations,CA-601,San Diego City and County CoC,gkg_point_in_coc
39,gdelt_gal_bca82ede5789ef40151dc0eb,2024-01-03 01:33:12+00:00,https://www.sandiegouniontribune.com/opinion/commentary/story/2024-01-02/opinion-san-diego-h-barracks-homeless-shelter-housing-point-loma,https://www.sandiegouniontribune.com/opinion/commentary/story/2024-01-02/opinion-san-diego-h-barracks-homeless-shelter-housing-point-loma,sandiegouniontribune.com,San Diego Union-Tribune,Opinion: San Diego urgently needs more homeless shelters. This abandoned lot could change the game.,"While the estimated startup budget is between $15 million to $20 million, this is significantly less than the cost of adding or acquiring permanent housing",en,,20240103020000-45,3,"Point Loma, California, United States",US,USCA,CA073,32.7001,-117.247,247638,1755,GDELT GKG V2Locations,CA-601,San Diego City and County CoC,gkg_point_in_coc
40,gdelt_gal_d5a0a815afec288cdf1e50ec,2024-01-03 01:33:19+00:00,https://www.sandiegouniontribune.com/opinion/commentary/story/2024-01-02/opinion-six-months-san-diego-safe-campsite-homeless-balboa-park,https://www.sandiegouniontribune.com/opinion/commentary/story/2024-01-02/opinion-six-months-san-diego-safe-campsite-homeless-balboa-park,sandiegouniontribune.com,San Diego Union-Tribune,"Opinion: Six months later, San Diego's safe campsites for homeless people have been a huge success",There are now nearly 500 people living in the safe sleeping sites at the city maintenance yard at 20th and B streets and the O Lot near the Naval Medical Center San Diego,en,,20240103020000-572,3,"San Diego, California, United States",US,USCA,CA073,32.7153,-117.157,1661377,23,GDELT GKG V2Locations,CA-601,San Diego City and County CoC,gkg_point_in_coc
